id,experiment_type,target_container,start_time,end_time,parameters,notes
1,container_kill,sentinel-catalogue-1,2026-07-23 11:00:57.113729+00,2026-07-23 11:01:03.100709+00,{},docker compose restart
2,cpu_stress,sentinel-catalogue-1,2026-07-23 11:01:33.13136+00,2026-07-23 11:02:33.678496+00,"{""duration_seconds"": 60}",Infinite loop stress via shell
3,network_delay,sentinel-catalogue-1,2026-07-23 11:03:03.690996+00,2026-07-23 11:04:08.725862+00,"{""delay_ms"": 200, ""duration_seconds"": 60}",Pumba netem delay
4,packet_loss,sentinel-catalogue-1,2026-07-23 11:04:38.743377+00,2026-07-23 11:05:43.771851+00,"{""loss_percent"": 30, ""duration_seconds"": 60}",Pumba netem loss
5,container_kill,sentinel-catalogue-1,2026-07-23 11:19:17.147017+00,2026-07-23 11:19:27.971989+00,{},
6,packet_loss,sentinel-shipping-1,2026-07-23 12:03:11.985887+00,2026-07-23 12:04:47.080367+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
7,packet_loss,sentinel-catalogue-1,2026-07-23 13:31:05.180936+00,2026-07-23 13:32:40.250446+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
8,network_delay,sentinel-catalogue-1,2026-07-23 14:48:28.429225+00,2026-07-23 14:50:03.518359+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
9,container_kill,sentinel-catalogue-1,2026-07-23 15:30:09.646298+00,2026-07-23 15:30:20.817695+00,{},
10,container_kill,sentinel-catalogue-1,2026-07-23 16:26:26.017332+00,2026-07-23 16:26:57.472909+00,{},
11,network_delay,sentinel-catalogue-1,2026-07-23 20:14:33.881706+00,2026-07-23 20:16:09.236274+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
12,network_delay,sentinel-orders-1,2026-07-23 21:09:38.738523+00,2026-07-23 21:11:17.853433+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
13,container_kill,sentinel-front-end-1,2026-07-23 22:10:55.008739+00,2026-07-23 22:11:09.14663+00,{},
14,container_kill,sentinel-front-end-1,2026-07-23 23:31:49.081579+00,2026-07-23 23:32:01.523218+00,{},
15,cpu_stress,sentinel-catalogue-1,2026-07-24 00:59:14.61103+00,2026-07-24 01:01:14.780252+00,"{""duration_seconds"": 90}",
16,network_delay,sentinel-catalogue-1,2026-07-24 01:52:09.951751+00,2026-07-24 01:53:45.02156+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
